"","subject","type","item","condition","question","correct_answer","response","rt","group","ambiguity","trimmed_rt"
"19",1,"gap",9,"a","0","-","-",7332,-0.5,0.5,7332
"35",1,"gap",1,"a","0","-","-",3889,-0.5,0.5,3889
"39",1,"gap",7,"a","0","-","-",5502,-0.5,0.5,5502
"54",1,"gap",11,"a","0","-","-",6100,-0.5,0.5,6100
"57",1,"gap",12,"b","0","-","-",5111,-0.5,-0.5,5111
"64",1,"gap",6,"b","0","-","-",4747,-0.5,-0.5,4747
"77",1,"gap",2,"b","0","-","-",5688,-0.5,-0.5,5688
"84",1,"gap",8,"b","0","-","-",4072,-0.5,-0.5,4072
"102",1,"gap",10,"b","0","-","-",6782,-0.5,-0.5,6782
"107",1,"gap",3,"a","0","-","-",9763,-0.5,0.5,9763
"154",1,"gap",4,"b","0","-","-",3525,-0.5,-0.5,3525
"167",1,"gap",5,"a","0","-","-",6241,-0.5,0.5,6241
"198",2,"gap",10,"a","0","-","-",7414,-0.5,0.5,7414
"219",2,"gap",1,"b","0","-","-",11766,-0.5,-0.5,11766
"226",2,"gap",3,"b","0","-","-",9436,-0.5,-0.5,9436
"233",2,"gap",6,"a","0","-","-",4062,-0.5,0.5,4062
"243",2,"gap",9,"b","0","-","-",5404,-0.5,-0.5,5404
"248",2,"gap",4,"a","0","-","-",5731,-0.5,0.5,5731
"252",2,"gap",12,"a","0","-","-",6163,-0.5,0.5,6163
"256",2,"gap",5,"b","0","-","-",5476,-0.5,-0.5,5476
"271",2,"gap",11,"b","0","-","-",4505,-0.5,-0.5,4505
"320",2,"gap",8,"a","0","-","-",5172,-0.5,0.5,5172
"330",2,"gap",2,"a","0","-","-",7103,-0.5,0.5,7103
"355",2,"gap",7,"b","0","-","-",8693,-0.5,-0.5,8693
"374",3,"gap",11,"a","0","-","-",10601,-0.5,0.5,10601
"387",3,"gap",6,"b","0","-","-",8487,-0.5,-0.5,8487
"397",3,"gap",1,"a","0","-","-",14887,-0.5,0.5,14887
"418",3,"gap",2,"b","0","-","-",13600,-0.5,-0.5,13600
"432",3,"gap",3,"a","0","-","-",25782,-0.5,0.5,25782
"439",3,"gap",9,"a","0","-","-",17519,-0.5,0.5,17519
"451",3,"gap",8,"b","0","-","-",17162,-0.5,-0.5,17162
"462",3,"gap",5,"a","0","-","-",9094,-0.5,0.5,9094
"473",3,"gap",4,"b","0","-","-",12509,-0.5,-0.5,12509
"488",3,"gap",7,"a","0","-","-",17228,-0.5,0.5,17228
"505",3,"gap",10,"b","0","-","-",14964,-0.5,-0.5,14964
"514",3,"gap",12,"b","0","-","-",12764,-0.5,-0.5,12764
"587",4,"gap",12,"a","0","-","-",3713,-0.5,0.5,3713
"591",4,"gap",2,"a","0","-","-",3192,-0.5,0.5,3192
"616",4,"gap",1,"b","0","-","-",2971,-0.5,-0.5,2971
"620",4,"gap",5,"b","0","-","-",7482,-0.5,-0.5,7482
"624",4,"gap",3,"b","0","-","-",8174,-0.5,-0.5,8174
"634",4,"gap",8,"a","0","-","-",4061,-0.5,0.5,4061
"641",4,"gap",6,"a","0","-","-",2655,-0.5,0.5,2655
"684",4,"gap",9,"b","0","-","-",4095,-0.5,-0.5,4095
"690",4,"gap",10,"a","0","-","-",2664,-0.5,0.5,2664
"697",4,"gap",11,"b","0","-","-",2531,-0.5,-0.5,2531
"710",4,"gap",7,"b","0","-","-",3211,-0.5,-0.5,3211
"714",4,"gap",4,"a","0","-","-",4365,-0.5,0.5,4365
"734",5,"gap",1,"a","0","-","-",3711,-0.5,0.5,3711
"760",5,"gap",6,"b","0","-","-",2644,-0.5,-0.5,2644
"767",5,"gap",4,"b","0","-","-",4413,-0.5,-0.5,4413
"774",5,"gap",7,"a","0","-","-",3500,-0.5,0.5,3500
"783",5,"gap",8,"b","0","-","-",3645,-0.5,-0.5,3645
"786",5,"gap",9,"a","0","-","-",3706,-0.5,0.5,3706
"793",5,"gap",5,"a","0","-","-",4295,-0.5,0.5,4295
"800",5,"gap",11,"a","0","-","-",3634,-0.5,0.5,3634
"815",5,"gap",3,"a","0","-","-",4025,-0.5,0.5,4025
"855",5,"gap",10,"b","0","-","-",3298,-0.5,-0.5,3298
"890",5,"gap",12,"b","0","-","-",3812,-0.5,-0.5,3812
"893",5,"gap",2,"b","0","-","-",2847,-0.5,-0.5,2847
"925",6,"gap",9,"b","0","-","-",9864,-0.5,-0.5,9864
"934",6,"gap",12,"a","0","-","-",14759,-0.5,0.5,14759
"951",6,"gap",2,"a","0","-","-",11332,-0.5,0.5,11332
"958",6,"gap",4,"a","0","-","-",9367,-0.5,0.5,9367
"976",6,"gap",1,"b","0","-","-",5234,-0.5,-0.5,5234
"1004",6,"gap",7,"b","0","-","-",3369,-0.5,-0.5,3369
"1008",6,"gap",10,"a","0","-","-",4274,-0.5,0.5,4274
"1025",6,"gap",6,"a","0","-","-",10719,-0.5,0.5,10719
"1035",6,"gap",3,"b","0","-","-",10439,-0.5,-0.5,10439
"1042",6,"gap",5,"b","0","-","-",4536,-0.5,-0.5,4536
"1045",6,"gap",8,"a","0","-","-",3936,-0.5,0.5,3936
"1059",6,"gap",11,"b","0","-","-",3922,-0.5,-0.5,3922
"1102",7,"gap",5,"a","0","-","-",5705,-0.5,0.5,5705
"1108",7,"gap",11,"a","0","-","-",6507,-0.5,0.5,6507
"1125",7,"gap",3,"a","0","-","-",8492,-0.5,0.5,8492
"1140",7,"gap",7,"a","0","-","-",5949,-0.5,0.5,5949
"1175",7,"gap",6,"b","0","-","-",4698,-0.5,-0.5,4698
"1182",7,"gap",9,"a","0","-","-",4560,-0.5,0.5,4560
"1189",7,"gap",10,"b","0","-","-",7528,-0.5,-0.5,7528
"1200",7,"gap",1,"a","0","-","-",5738,-0.5,0.5,5738
"1216",7,"gap",8,"b","0","-","-",3325,-0.5,-0.5,3325
"1241",7,"gap",4,"b","0","-","-",5840,-0.5,-0.5,5840
"1251",7,"gap",12,"b","0","-","-",4572,-0.5,-0.5,4572
"1258",7,"gap",2,"b","0","-","-",4586,-0.5,-0.5,4586
"1275",8,"gap",5,"b","0","-","-",6786,-0.5,-0.5,6786
"1282",8,"gap",8,"a","0","-","-",4508,-0.5,0.5,4508
"1296",8,"gap",9,"b","0","-","-",11215,-0.5,-0.5,11215
"1303",8,"gap",7,"b","0","-","-",4855,-0.5,-0.5,4855
"1311",8,"gap",12,"a","0","-","-",11463,-0.5,0.5,11463
"1322",8,"gap",11,"b","0","-","-",7411,-0.5,-0.5,7411
"1335",8,"gap",4,"a","0","-","-",8906,-0.5,0.5,8906
"1345",8,"gap",6,"a","0","-","-",4277,-0.5,0.5,4277
"1377",8,"gap",10,"a","0","-","-",7713,-0.5,0.5,7713
